16,Ja'Marr Chase,13,17,0,0,21,0,1455,13,0,13.15,2021,21,CIN,17,17,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,223.6,304.60,13.15,17.92,7,21,3.0,0,1.2,128,81,1455,18.0,13,85.6,63.3,11.4,13,13,0,0,,0,0,,0,0,78,WR
17,Kirk Cousins,13,16,4221,33,115,1,0,0,0,18.77,2021,33,MIN,16,16,372,561,189,66.3,4221,33,7,,5.9,1.2,103.1,28,197,4.75,7.5,8.14,7.42,11.3,263.8,8,8,0,3,4,300.3,300.34,18.77,18.77,29,115,4.0,1,7.2,0,0,0,,0,0.0,,,13,1,0,0,,0,0,,0,0,6,QB
18,Justin Jefferson,13,17,35,0,14,0,1616,10,0,13.08,2021,22,MIN,17,17,2,4,2,50.0,35,0,0,,0.0,0.0,80.2,0,0,0.00,8.8,8.75,8.75,17.5,2.1,,,,,,222.4,330.40,13.08,19.44,6,14,2.3,0,0.8,167,108,1616,15.0,10,95.1,64.7,9.7,13,10,0,0,,0,0,,0,0,60,WR
19,Ryan Tannehill,13,17,3734,21,270,7,0,0,0,15.79,2021,33,TEN,17,17,357,531,174,67.2,3734,21,14,,4.0,2.6,89.6,47,327,8.13,7.0,6.64,5.53,10.5,219.6,12,5,0,3,4,268.4,268.36,15.79,15.79,55,270,4.9,7,15.9,0,0,0,,0,0.0,,,13,7,0,0,,0,0,,0,0,42,QB
20,Derek Carr,12,17,4804,23,108,0,0,0,0,15.12,2021,30,LVR,17,17,428,626,198,68.4,4804,23,14,2,3.7,2.2,94.0,40,241,6.01,7.7,7.40,6.60,11.2,282.6,10,7,0,3,6,257.0,256.96,15.12,15.12,40,108,2.7,0,6.4,0,0,0,,0,0.0,,,12,0,0,0,,0,0,,0,0,0,QB
21,Stefon Diggs,12,17,0,0,0,0,1225,10,0,10.74,2021,28,BUF,17,17,0,0,0,,0,0,0,,,,,1,2,100.00,,,-2.00,,0.0,,,,,,182.5,285.50,10.74,16.79,0,0,,0,0.0,164,103,1225,11.9,10,72.1,62.8,7.5,12,10,0,0,,0,0,,0,0,60,WR
22,Austin Ekeler,12,16,0,0,911,12,647,8,0,17.11,2021,26,LAC,16,16,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,273.8,343.80,17.11,21.49,206,911,4.4,12,56.9,94,70,647,9.2,8,40.4,74.5,6.9,12,20,0,0,,0,0,,2,0,124,RB
23,Jimmy Garoppolo,12,15,3810,20,51,3,0,0,0,15.17,2021,30,SFO,15,15,301,441,140,68.3,3810,20,12,,4.5,2.7,98.7,29,201,6.17,8.6,8.32,7.38,12.7,254.0,9,6,0,3,3,227.5,227.50,15.17,15.17,38,51,1.3,3,3.4,0,0,0,,0,0.0,,,12,3,0,0,,0,0,,0,0,18,QB
24,Tyreek Hill,12,16,0,0,96,0,1239,9,0,10.91,2021,27,KAN,17,16,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,185.5,296.50,10.91,17.44,9,96,10.7,0,5.6,159,111,1239,11.2,9,72.9,69.8,7.8,12,9,0,0,,0,0,,0,0,54,WR
25,Michael Pittman Jr.,12,17,0,0,44,0,1082,6,0,8.86,2021,24,IND,17,17,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,150.6,238.60,8.86,14.04,5,44,8.8,0,2.6,129,88,1082,12.3,6,63.6,68.2,8.4,12,6,0,0,,0,0,,1,0,38,WR
26,Russell Wilson,12,14,3113,25,183,2,0,0,0,17.34,2021,33,SEA,14,14,259,400,141,64.8,3113,25,6,,6.3,1.5,103.1,33,266,7.62,7.8,8.36,7.11,12.0,222.4,6,8,0,0,1,242.8,242.82,17.34,17.34,43,183,4.3,2,13.1,0,0,0,,0,0.0,,,12,2,0,0,,0,0,,0,0,12,QB
27,Keenan Allen,11,16,0,0,0,0,1138,6,0,9.49,2021,29,LAC,16,16,0,1,1,0.0,0,0,0,,0.0,0.0,39.6,0,0,0.00,0.0,0.00,0.00,,0.0,,,,,,151.8,257.80,9.49,16.11,0,0,,0,0.0,157,106,1138,10.7,6,71.1,67.5,7.2,11,6,0,0,,0,0,,0,0,36,WR
28,Lamar Jackson,11,12,2882,16,767,2,0,0,0,20.00,2021,24,BAL,12,12,246,382,136,64.4,2882,16,13,1,4.2,3.4,87.0,38,190,9.05,7.5,6.85,5.78,11.7,240.2,7,5,0,4,4,240.0,239.98,20.00,20.00,133,767,5.8,2,63.9,0,0,0,,0,0.0,,,11,2,0,0,,0,0,,0,0,12,QB
29,Lane Johnson,11,13,0,0,0,0,5,1,0,0.50,2021,31,PHI,13,13,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,6.5,7.50,0.50,0.58,0,0,,0,0.0,1,1,5,5.0,1,0.4,100.0,5.0,11,1,0,0,,0,0,,0,0,6,T
30,Travis Kelce,11,16,0,0,3,1,1125,9,0,10.68,2021,32,KAN,16,16,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,170.8,262.80,10.68,16.43,2,3,1.5,1,0.2,134,92,1125,12.2,9,70.3,68.7,8.4,11,10,0,0,,0,0,,0,0,60,TE
31,Tyler Lockett,11,16,0,0,9,0,1175,8,0,10.53,2021,29,SEA,16,16,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,168.4,241.40,10.53,15.09,2,9,4.5,0,0.6,107,73,1175,16.1,8,73.4,68.2,11.0,11,8,0,0,,0,0,,1,0,50,WR
32,Mike Williams,11,14,0,0,0,0,1146,9,0,10.66,2021,27,LAC,16,14,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,170.6,246.60,10.66,15.41,0,0,,0,0.0,129,76,1146,15.1,9,71.6,58.9,8.9,11,9,0,0,,0,0,,1,0,56,WR
33,Mark Andrews,10,9,0,0,0,0,1361,9,0,11.42,2021,26,BAL,17,9,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,194.1,301.10,11.42,17.71,1,0,0.0,0,0.0,153,107,1361,12.7,9,80.1,69.9,8.9,10,9,0,0,,0,0,,2,0,58,TE
34,Teddy Bridgewater,10,14,3052,18,106,2,0,0,0,14.48,2021,29,DEN,14,14,285,426,141,66.9,3052,18,7,1,4.2,1.6,94.9,31,211,6.78,7.2,7.27,6.32,10.7,218.0,7,7,0,0,1,202.7,202.68,14.48,14.48,30,106,3.5,2,7.6,0,0,0,,0,0.0,,,10,2,0,0,,0,0,,0,0,12,QB
35,Nick Chubb,10,14,0,0,1259,8,174,1,0,13.95,2021,26,CLE,14,14,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,195.3,215.30,13.95,15.38,228,1259,5.5,8,89.9,25,20,174,8.7,1,12.4,80.0,7.0,10,9,0,0,,0,0,,0,0,54,RB
36,Chris Godwin,10,14,0,0,21,1,1103,5,0,10.31,2021,25,TAM,14,14,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,144.4,242.40,10.31,17.31,4,21,5.3,1,1.5,127,98,1103,11.3,5,78.8,77.2,8.7,10,6,0,0,,0,0,,0,0,36,WR
